model,grain,n,positives,negatives,auc,average_precision,bacc_0p5,sensitivity_0p5,specificity_0p5,f1_0p5
Mammo-FM,image,8409,66,8343,0.8552270275571248,0.04523927617514742,0.7365673999978207,0.6060606060606061,0.8670741939350354,0.06584362139917696
Mammo-FM,patient,862,19,843,0.862333770368983,0.11133714251759298,0.7204532684023226,0.5263157894736842,0.9145907473309609,0.19801980198019803
Mammo-CLIP,image,8409,66,8343,0.8272331368339999,0.051074040985466904,0.7265453891667484,0.5606060606060606,0.8924847177274362,0.074
Mammo-CLIP,patient,862,19,843,0.8278703877130549,0.10660679240329941,0.7269775863145408,0.5263157894736842,0.9276393831553974,0.2222222222222222
MIL,image,8409,66,8343,0.8254660956926329,0.0603436010108256,0.7028238152833621,0.5303030303030303,0.8753446002636941,0.06134969325153374
MIL,patient,862,19,843,0.8718236873322096,0.13027103492048656,0.6743460073671723,0.42105263157894735,0.9276393831553974,0.18181818181818182
GLAM,image,8409,66,8343,0.6993687322705662,0.030730726650847383,0.6428769899643686,0.4090909090909091,0.8766630708378281,0.0481283422459893
GLAM,patient,862,19,843,0.6719735281263657,0.10167476821417695,0.5730786039832678,0.3157894736842105,0.830367734282325,0.07142857142857142
DST k=10,image,8409,66,8343,0.7659297033622816,0.034326466348851954,0.6750024517014808,0.48484848484848486,0.8651564185544768,0.05233033524121014
DST k=10,patient,862,19,843,0.8104513953923955,0.1214709003812785,0.7042205157020666,0.47368421052631576,0.9347568208778173,0.21686746987951808
