baseline,baseline_fold,dst_fold,baseline_val_patients,dst_val_patients,intersection,jaccard
Mammo-FM,0,0,675,676,146,0.12116182572614108
Mammo-FM,0,1,675,675,145,0.12033195020746888
Mammo-FM,0,2,675,674,115,0.09319286871961102
Mammo-FM,0,3,675,674,139,0.11487603305785124
Mammo-FM,0,4,675,674,130,0.1066447908121411
Mammo-FM,1,0,675,676,121,0.0983739837398374
Mammo-FM,1,1,675,675,142,0.11754966887417219
Mammo-FM,1,2,675,674,143,0.11857379767827529
Mammo-FM,1,3,675,674,136,0.11211871393239901
Mammo-FM,1,4,675,674,133,0.109375
Mammo-FM,2,0,675,676,134,0.11010682004930156
Mammo-FM,2,1,675,675,137,0.11294311624072548
Mammo-FM,2,2,675,674,149,0.12416666666666666
Mammo-FM,2,3,675,674,129,0.10573770491803279
Mammo-FM,2,4,675,674,126,0.10302534750613246
Mammo-FM,3,0,674,676,123,0.10024449877750612
Mammo-FM,3,1,674,675,126,0.10302534750613246
Mammo-FM,3,2,674,674,132,0.10855263157894737
Mammo-FM,3,3,674,674,145,0.12053200332502079
Mammo-FM,3,4,674,674,148,0.12333333333333334
Mammo-FM,4,0,674,676,152,0.12687813021702837
Mammo-FM,4,1,674,675,125,0.10212418300653595
Mammo-FM,4,2,674,674,135,0.11129431162407255
Mammo-FM,4,3,674,674,125,0.10220768601798855
Mammo-FM,4,4,674,674,137,0.11312964492155243
Mammo-CLIP,0,0,675,676,132,0.10828547990155865
Mammo-CLIP,0,1,675,675,139,0.1147811725846408
Mammo-CLIP,0,2,675,674,134,0.1102880658436214
Mammo-CLIP,0,3,675,674,130,0.1066447908121411
Mammo-CLIP,0,4,675,674,140,0.11579818031430934
Mammo-CLIP,1,0,675,676,123,0.1001628664495114
Mammo-CLIP,1,1,675,675,130,0.10655737704918032
Mammo-CLIP,1,2,675,674,154,0.12887029288702928
Mammo-CLIP,1,3,675,674,131,0.10755336617405582
Mammo-CLIP,1,4,675,674,137,0.11303630363036303
Mammo-CLIP,2,0,676,676,132,0.10819672131147541
Mammo-CLIP,2,1,676,675,145,0.12023217247097844
Mammo-CLIP,2,2,676,674,126,0.10294117647058823
Mammo-CLIP,2,3,676,674,141,0.11662531017369727
Mammo-CLIP,2,4,676,674,131,0.10746513535684987
Mammo-CLIP,3,0,675,676,130,0.10647010647010648
Mammo-CLIP,3,1,675,675,130,0.10655737704918032
Mammo-CLIP,3,2,675,674,146,0.12136325852036575
Mammo-CLIP,3,3,675,674,144,0.11950207468879669
Mammo-CLIP,3,4,675,674,125,0.10212418300653595
Mammo-CLIP,4,0,675,676,159,0.13338926174496643
Mammo-CLIP,4,1,675,675,131,0.10746513535684987
Mammo-CLIP,4,2,675,674,114,0.09230769230769231
Mammo-CLIP,4,3,675,674,128,0.10483210483210484
Mammo-CLIP,4,4,675,674,141,0.11672185430463576
MIL,0,0,675,676,145,0.12023217247097844
MIL,0,1,675,675,142,0.11754966887417219
MIL,0,2,675,674,132,0.10846343467543139
MIL,0,3,675,674,127,0.1039279869067103
MIL,0,4,675,674,129,0.10573770491803279
MIL,1,0,681,676,127,0.10325203252032521
MIL,1,1,681,675,130,0.10603588907014681
MIL,1,2,681,674,153,0.12728785357737105
MIL,1,3,681,674,137,0.11247947454844007
MIL,1,4,681,674,134,0.10974610974610975
MIL,2,0,674,676,127,0.10384300899427637
MIL,2,1,674,675,143,0.11857379767827529
MIL,2,2,674,674,120,0.09771986970684039
MIL,2,3,674,674,142,0.11774461028192372
MIL,2,4,674,674,140,0.11589403973509933
MIL,3,0,672,676,145,0.12053200332502079
MIL,3,1,672,675,141,0.11691542288557213
MIL,3,2,672,674,122,0.09967320261437909
MIL,3,3,672,674,136,0.11239669421487604
MIL,3,4,672,674,128,0.10509031198686371
MIL,4,0,674,676,132,0.10837438423645321
MIL,4,1,674,675,119,0.09674796747967479
MIL,4,2,674,674,147,0.12239800166527894
MIL,4,3,674,674,132,0.10855263157894737
MIL,4,4,674,674,143,0.11867219917012448
GLAM,0,0,675,676,135,0.11101973684210527
GLAM,0,1,675,675,129,0.10565110565110565
GLAM,0,2,675,674,131,0.10755336617405582
GLAM,0,3,675,674,133,0.109375
GLAM,0,4,675,674,146,0.12136325852036575
GLAM,1,0,675,676,134,0.11010682004930156
GLAM,1,1,675,675,142,0.11754966887417219
GLAM,1,2,675,674,121,0.0985342019543974
GLAM,1,3,675,674,127,0.1039279869067103
GLAM,1,4,675,674,151,0.12604340567612687
GLAM,2,0,676,676,135,0.11092851273623665
GLAM,2,1,676,675,132,0.10828547990155865
GLAM,2,2,676,674,136,0.11202635914332784
GLAM,2,3,676,674,134,0.11019736842105263
GLAM,2,4,676,674,139,0.1147811725846408
GLAM,3,0,675,676,134,0.11010682004930156
GLAM,3,1,675,675,124,0.10114192495921696
GLAM,3,2,675,674,143,0.11857379767827529
GLAM,3,3,675,674,138,0.11395540875309662
GLAM,3,4,675,674,135,0.11120263591433278
GLAM,4,0,675,676,138,0.11376751854905194
GLAM,4,1,675,675,148,0.12312811980033278
GLAM,4,2,675,674,143,0.11857379767827529
GLAM,4,3,675,674,142,0.11764705882352941
GLAM,4,4,675,674,103,0.0826645264847512
