model,fold,grain,n,positives,negatives,auc,average_precision,bacc_0p5,sensitivity_0p5,specificity_0p5,f1_0p5
Mammo-FM,0,image,8409,66,8343,0.7937020329145464,0.03201918923093318,0.6789932768897171,0.4696969696969697,0.8882895840824644,0.06025267249757046
Mammo-FM,0,patient,862,19,843,0.8147593182243866,0.0715915797639424,0.5773865268152587,0.21052631578947367,0.9442467378410438,0.11428571428571428
Mammo-FM,1,image,8409,66,8343,0.8320893218412097,0.05113074398093345,0.7401931940766893,0.7727272727272727,0.7076591154261057,0.03990610328638498
Mammo-FM,1,patient,862,19,843,0.8158831241805581,0.15040879038451707,0.7713679215833178,0.7894736842105263,0.7532621589561092,0.12396694214876033
Mammo-FM,2,image,8409,66,8343,0.7994517269058802,0.024138145982974483,0.7104976409183529,0.6060606060606061,0.8149346757760997,0.048484848484848485
Mammo-FM,2,patient,862,19,843,0.840263470063058,0.10827184830309446,0.7115564712492977,0.5263157894736842,0.896797153024911,0.1724137931034483
Mammo-FM,3,image,8409,66,8343,0.7957977836618613,0.03690909282470901,0.7298197727000316,0.6212121212121212,0.838427424187942,0.056357388316151204
Mammo-FM,3,patient,862,19,843,0.8221889242679653,0.12838483875381188,0.6488418555285009,0.42105263157894735,0.8766310794780545,0.12213740458015267
Mammo-FM,4,image,8409,66,8343,0.8278397059411082,0.046568804328341575,0.7446852560121169,0.696969696969697,0.7924008150545367,0.049891540130151846
Mammo-FM,4,patient,862,19,843,0.8544046950115503,0.13069669530798486,0.7889429980645564,0.7368421052631579,0.8410438908659549,0.16766467065868262
Mammo-CLIP,0,image,8409,66,8343,0.79236994177663,0.04738677747944236,0.740261296895601,0.6666666666666666,0.8138559271245356,0.052916416115454
Mammo-CLIP,0,patient,862,19,843,0.8032090903415121,0.1096664742441872,0.7351251794967846,0.631578947368421,0.8386714116251482,0.1437125748502994
Mammo-CLIP,1,image,8409,66,8343,0.757585745989198,0.03117188962572914,0.6837059919584192,0.5303030303030303,0.837108953613808,0.04794520547945205
Mammo-CLIP,1,patient,862,19,843,0.729724667540738,0.08715103719667747,0.6397265405506649,0.3684210526315789,0.9110320284697508,0.13861386138613863
Mammo-CLIP,2,image,8409,66,8343,0.7549488048409299,0.029288884846072952,0.5688301570178593,0.16666666666666666,0.9709936473690519,0.06896551724137931
Mammo-CLIP,2,patient,862,19,843,0.8110757320347131,0.08980277322247426,0.5203845913716676,0.05263157894736842,0.9881376037959668,0.06666666666666667
Mammo-CLIP,3,image,8409,66,8343,0.8168978530359329,0.05410753133212435,0.7546936462794068,0.696969696969697,0.8124175955891166,0.054859868813357186
Mammo-CLIP,3,patient,862,19,843,0.8457888493475682,0.12051866138068312,0.821783105450459,0.7894736842105263,0.8540925266903915,0.1910828025477707
Mammo-CLIP,4,image,8409,66,8343,0.79902676531587,0.05172116591730781,0.7012901398014666,0.8787878787878788,0.5237924008150545,0.028313400048816207
Mammo-CLIP,4,patient,862,19,843,0.8018979833926453,0.07933246652369476,0.7229506149715927,0.8421052631578947,0.6037959667852907,0.08672086720867209
MIL,0,image,8409,66,8343,0.8019234052135886,0.05759316820649569,0.7142596406350452,0.5606060606060606,0.8679132206640298,0.061410788381742736
MIL,0,patient,862,19,843,0.8647686832740213,0.16175974930455922,0.6844290441406006,0.42105263157894735,0.9478054567022538,0.22535211267605634
MIL,1,image,8409,66,8343,0.8323172392751681,0.04288427775690061,0.7655955455308205,0.8787878787878788,0.6524032122737624,0.03835978835978836
MIL,1,patient,862,19,843,0.858775051507773,0.10466962311187529,0.7674346007367172,0.8421052631578947,0.6927639383155397,0.10884353741496598
MIL,2,image,8409,66,8343,0.7388901601415087,0.03764860530043349,0.638643718740806,0.3484848484848485,0.9288025889967637,0.06734992679355783
MIL,2,patient,862,19,843,0.8489105325591559,0.1368662781427119,0.5419554223637385,0.10526315789473684,0.9786476868327402,0.10256410256410256
MIL,3,image,8409,66,8343,0.8098333206208072,0.04673708249958563,0.7206967190785961,0.5757575757575758,0.8656358623996164,0.062040816326530614
MIL,3,patient,862,19,843,0.8302740837859773,0.15646298815212317,0.6713804083161641,0.42105263157894735,0.9217081850533808,0.17204301075268819
MIL,4,image,8409,66,8343,0.7875646068742077,0.03717558759808979,0.7003094592091356,0.6060606060606061,0.794558312357665,0.04395604395604396
MIL,4,patient,862,19,843,0.8457264156833364,0.11530061617664368,0.6698195667103702,0.47368421052631576,0.8659549228944247,0.1276595744680851
GLAM,0,image,8409,66,8343,0.7166559518231578,0.03881221360429585,0.5391318797467665,0.9242424242424242,0.15402133525110873,0.01697981906750174
GLAM,0,patient,862,19,843,0.6833988886807766,0.1448784315212182,0.5104576387588188,0.9473684210526315,0.07354685646500593,0.044009779951100246
GLAM,1,image,8409,66,8343,0.6768766412779357,0.02341445725230479,0.6061831911346475,0.2878787878787879,0.924487594390507,0.05314685314685315
GLAM,1,patient,862,19,843,0.6768433539364426,0.11875427540382193,0.5843478803770994,0.3157894736842105,0.8529062870699882,0.08053691275167785
GLAM,2,image,8409,66,8343,0.6507823651836597,0.018669802382574523,0.5,1.0,0.0,0.015575221238938054
GLAM,2,patient,862,19,843,0.6390085534119997,0.0950445824560251,0.5,1.0,0.0,0.043132803632236094
GLAM,3,image,8409,66,8343,0.6925466458907668,0.02936792159516593,0.6126802000588408,0.30303030303030304,0.9223300970873787,0.05449591280653951
GLAM,3,patient,862,19,843,0.6598613972654056,0.09850275694778948,0.5847224823624898,0.2631578947368421,0.9062870699881376,0.0970873786407767
GLAM,4,image,8409,66,8343,0.7015334938743784,0.033622019731853005,0.6366060823989627,0.3484848484848485,0.9247273163130768,0.06415620641562064
GLAM,4,patient,862,19,843,0.6814010114253606,0.1000996700140468,0.5756071673846538,0.21052631578947367,0.9406880189798339,0.1095890410958904
DST k=10,0,image,8409,66,8343,0.7686374714422178,0.03404757846027627,0.6990127815370534,0.5454545454545454,0.8525710176195613,0.05405405405405406
DST k=10,0,patient,862,19,843,0.8160079915090217,0.12211512598074634,0.7006617968408566,0.47368421052631576,0.9276393831553974,0.20224719101123595
DST k=10,1,image,8409,66,8343,0.7586563223024927,0.03427863363371317,0.6789578634238829,0.48484848484848486,0.8730672419992809,0.055315471045808126
DST k=10,1,patient,862,19,843,0.8068926765311856,0.11942090807496882,0.7071861147530748,0.47368421052631576,0.9406880189798339,0.23076923076923078
DST k=10,2,image,8409,66,8343,0.764785576004562,0.03435096443948604,0.6724608544996895,0.4696969696969697,0.8752247393024092,0.054481546572934976
DST k=10,2,patient,862,19,843,0.8102640943997004,0.11463914572579674,0.6814634450895922,0.42105263157894735,0.9418742586002372,0.21052631578947367
DST k=10,3,image,8409,66,8343,0.7728398693878737,0.03445920548997715,0.7037472895078073,0.5454545454545454,0.8620400335610692,0.05746209098164405
DST k=10,3,patient,862,19,843,0.8141974152463008,0.11994840903726156,0.7012549166510582,0.47368421052631576,0.9288256227758007,0.20454545454545456
DST k=10,4,image,8409,66,8343,0.7561537707168776,0.03379783912087314,0.6962314624126922,0.5303030303030303,0.8621598945223541,0.055955235811350916
