correction_family,grain,metric,comparison,baseline,n_pairs,dst_mean,baseline_mean,mean_delta_dst_minus_baseline,median_delta_dst_minus_baseline,wins_dst,losses_dst,ties,wilcoxon_w,p_raw,rank_biserial_dst_minus_baseline,p_holm,significant_raw_0p05,significant_holm_0p05
Fixed-threshold metrics across both grains (24 tests),image,bacc_0p5,DST k=10 vs GLAM,GLAM,5,0.690082050276225,0.5789202706678436,0.11116177960838156,0.09106708944896647,5,0,0,0.0,0.0625,1.0,1.0,False,False
Fixed-threshold metrics across both grains (24 tests),image,bacc_0p5,DST k=10 vs Mammo-FM,Mammo-FM,5,0.690082050276225,0.7208378281193816,-0.030755777843156508,-0.03803678641866337,1,4,0,1.0,0.125,-0.8666666666666667,1.0,False,False
Fixed-threshold metrics across both grains (24 tests),image,bacc_0p5,DST k=10 vs MIL,MIL,5,0.690082050276225,0.7079010166388807,-0.017818966362655654,-0.015246859097991838,1,4,0,4.0,0.4375,-0.4666666666666667,1.0,False,False
Fixed-threshold metrics across both grains (24 tests),image,bacc_0p5,DST k=10 vs Mammo-CLIP,Mammo-CLIP,5,0.690082050276225,0.6897562463905506,0.0003258038856744472,-0.005058677388774413,1,4,0,5.0,0.625,-0.3333333333333333,1.0,False,False
Fixed-threshold metrics across both grains (24 tests),image,sensitivity_0p5,DST k=10 vs Mammo-FM,Mammo-FM,5,0.5151515151515151,0.6333333333333334,-0.11818181818181821,-0.13636363636363635,1,4,0,1.0,0.125,-0.8666666666666667,1.0,False,False
Fixed-threshold metrics across both grains (24 tests),image,sensitivity_0p5,DST k=10 vs MIL,MIL,5,0.5151515151515151,0.593939393939394,-0.07878787878787881,-0.030303030303030387,1,4,0,4.0,0.4375,-0.4666666666666667,1.0,False,False
Fixed-threshold metrics across both grains (24 tests),image,sensitivity_0p5,DST k=10 vs Mammo-CLIP,Mammo-CLIP,5,0.5151515151515151,0.5878787878787879,-0.07272727272727272,-0.12121212121212122,1,4,0,4.0,0.4375,-0.4666666666666667,1.0,False,False
Fixed-threshold metrics across both grains (24 tests),image,sensitivity_0p5,DST k=10 vs GLAM,GLAM,5,0.5151515151515151,0.5727272727272728,-0.0575757575757576,0.18181818181818177,3,2,0,6.0,0.8125,-0.2,1.0,False,False
Fixed-threshold metrics across both grains (24 tests),image,specificity_0p5,DST k=10 vs Mammo-FM,Mammo-FM,5,0.865012585400935,0.8083423229054297,0.05667026249550522,0.0602900635263095,4,1,0,2.0,0.1875,0.7333333333333333,1.0,False,False
Fixed-threshold metrics across both grains (24 tests),image,specificity_0p5,DST k=10 vs Mammo-CLIP,Mammo-CLIP,5,0.865012585400935,0.7916337049023132,0.0733788804986216,0.03871509049502575,4,1,0,4.0,0.4375,0.4666666666666667,1.0,False,False
Fixed-threshold metrics across both grains (24 tests),image,specificity_0p5,DST k=10 vs GLAM,GLAM,5,0.865012585400935,0.5851132686084142,0.2798993167925207,-0.05142035239122611,2,3,0,6.0,0.8125,0.2,1.0,False,False
