grain,model,n,positives,negatives,auc,auprc,sensitivity_0p5,specificity_0p5,bacc_0p5,f1_0p5,auc_ci95_low,auc_ci95_high,auprc_ci95_low,auprc_ci95_high,ci_method,n_bootstrap
patient,DST k=10,862,19,843,0.8645813822813261,0.12651219331521418,0.3157894736842105,0.9418742586002372,0.6288318661422239,0.16216216216216217,0.802021289879503,0.918525629019167,0.07269710403003087,0.2800084630371894,stratified patient bootstrap,20000
patient,GLAM,862,19,843,0.6719735281263657,0.10167476821417695,0.3157894736842105,0.830367734282325,0.5730786039832678,0.07142857142857142,0.538363925828807,0.7923471936067926,0.03191418335489128,0.23747780804022398,stratified patient bootstrap,20000
patient,Mammo-FM,862,19,843,0.8623337703689831,0.111337142517593,0.5263157894736842,0.9145907473309609,0.7204532684023226,0.19801980198019803,0.7921583317724917,0.9228975463569954,0.07348649285070712,0.201162443038877,stratified patient bootstrap,20000
patient,Mammo-CLIP,862,19,843,0.8281825560342136,0.10666630434377677,0.5263157894736842,0.9276393831553974,0.7269775863145408,0.2222222222222222,0.7309717799837673,0.9102828244989698,0.06651215386563691,0.2004187975329926,stratified patient bootstrap,20000
patient,MIL,862,19,843,0.8718236873322096,0.13027103492048656,0.42105263157894735,0.9276393831553974,0.6743460073671723,0.18181818181818182,0.8096990697384029,0.9245176999438097,0.07587981203121782,0.27793848193963105,stratified patient bootstrap,20000
image_clustered,DST k=10,8409,66,8343,0.800618555203237,0.04213046844608692,0.5151515151515151,0.8765432098765432,0.6958473625140291,0.06017699115044248,0.7331619904907465,0.8614372344946126,0.02160793414797044,0.0801829251763985,stratified patient-cluster bootstrap,20000
image_clustered,GLAM,8409,66,8343,0.6993687322705662,0.030730726650847383,0.4090909090909091,0.8766630708378281,0.6428769899643686,0.0481283422459893,0.5888877110843115,0.786137275451349,0.0139882928514491,0.07523833470996662,stratified patient-cluster bootstrap,20000
image_clustered,Mammo-FM,8409,66,8343,0.8552197632564407,0.04515152008494194,0.6060606060606061,0.8669543329737505,0.7365074695171783,0.06578947368421052,0.7884518240408009,0.907084910586036,0.023089932854243257,0.09568642685478215,stratified patient-cluster bootstrap,20000
image_clustered,Mammo-CLIP,8409,66,8343,0.8585813183979312,0.0558090346610665,0.5606060606060606,0.9440249310799472,0.7523154958430038,0.12982456140350876,0.7594664276560246,0.926441791344356,0.03023901796866246,0.11576273304676853,stratified patient-cluster bootstrap,20000
image_clustered,MIL,8409,66,8343,0.8254660956926329,0.0603436010108256,0.5303030303030303,0.8753446002636941,0.7028238152833621,0.06134969325153374,0.7667758257767643,0.8743122744217174,0.028291691052197775,0.10971747729198941,stratified patient-cluster bootstrap,20000
